Time (fs)	Ex (arb. u.)	Ey (arb. u.)
0.103811539222	-0.163646169408	-0.250626630097
0.105485918887	-0.154710719922	-0.243394724575
0.107160298552	-0.14297755343	-0.230412631606
0.108834678217	-0.128976820405	-0.211883070984
0.110509057881	-0.113237156989	-0.188136102532
0.112183437546	-0.0962637520977	-0.159634058046
0.113857817211	-0.0785195385844	-0.126973940646
0.115532196876	-0.0604105211936	-0.0908862384882
0.117206576541	-0.0422760631835	-0.0522290803558
0.118880956206	-0.0243846961914	-0.0119767335807
0.120555335871	-0.00693570003687	0.0287983769713
0.122229715535	0.00993366754916	0.0689506599606
0.1239040952	0.0261358087752	0.107293489593
0.125578474865	0.0416162127247	0.142638110992
0.12725285453	0.0563339738695	0.173838377097
0.128927234195	0.0702410297599	0.199839758996
0.13060161386	0.0832619811206	0.219730457091
0.132275993525	0.0952764726669	0.232791879895
0.13395037319	0.106106082336	0.23854530767
0.135624752854	0.115507474343	0.236791277696
0.137299132519	0.123173213476	0.227638170581
0.138973512184	0.128741124006	0.211516686671
0.140647891849	0.131812430942	0.189177406632
0.142322271514	0.131978182416	0.161669437869
0.143996651179	0.128852671029	0.130299240356
0.145671030844	0.122111809554	0.0965700554676
0.147345410509	0.111533739065	0.0621038545406
0.149019790173	0.0970384224745	0.0285492790133
0.150694169838	0.0787226659663	-0.00251946112642
0.152368549503	0.056886966119	-0.0297064646836
0.154042929168	0.0320508362004	-0.0518935607117
0.155717308833	0.00495383316939	-0.0683275378281
0.157391688498	-0.0234596266362	-0.0786875060798
0.159066068163	-0.0520724528055	-0.0831254104445
0.160740447827	-0.0796435489208	-0.0822740631396
0.162414827492	-0.104871046592	-0.0772190280749
0.164089207157	-0.126466812725	-0.0694331798208
0.165763586822	-0.143237706634	-0.0606756180803
0.167437966487	-0.15416809939	-0.0528596429087
0.169112346152	-0.158497577756	-0.0478974443699
0.170786725817	-0.155787622005	-0.0475317722825
0.172461105482	-0.145971418317	-0.0531668694599
0.174135485146	-0.129381847787	-0.0657121447073
0.175809864811	-0.106754044812	-0.085452250135
0.177484244476	-0.0792006523924	-0.111956303783
0.179158624141	-0.0481598961717	-0.144036944514
0.180833003806	-0.015318698139	-0.179766801003
0.182507383471	0.0174849166667	-0.216555978601
0.184181763136	0.0483740750159	-0.251289585134
0.185856142801	0.0755525348716	-0.280519470127
0.187530522465	0.0974230927988	-0.300699628857
0.18920490213	0.112696386258	-0.308450525269
0.190879281795	0.120481984106	-0.30083429789
0.19255366146	0.12035473328	-0.275620756665
0.194228041125	0.112390982194	-0.23152349451
0.19590242079	0.0971714112036	-0.168386451034
0.197576800455	0.0757496060112	-0.087303873548
0.199251180119	0.0495880220991	0.00933931541196
0.200925559784	0.0204654068206	0.117914478878
0.202599939449	-0.00963812373344	0.233685214554
0.204274319114	-0.0386704848926	0.351027510372
0.205948698779	-0.0646425540481	0.46372301036
0.207623078444	-0.085759283353	0.565308603616
0.209297458109	-0.1005379478	0.649460936741
0.210971837774	-0.107905456253	0.710391292243
0.212646217438	-0.107268214051	0.743224837263
0.214320597103	-0.098550042022	0.744338659952
0.215994976768	-0.0821959629539	0.711635262049
0.217669356433	-0.0591420796025	0.644732110038
0.219343736098	-0.0307541026167	0.545053178562
0.221018115763	0.00126082948597	0.41581475863
0.222692495428	0.0349627080358	0.261904686747
0.224366875093	0.0683000745358	0.089661082101
0.226041254757	0.0992361709982	-0.0934368354669
0.227715634422	0.125871655381	-0.279147683521
0.229390014087	0.146556243507	-0.458894126482
0.231064393752	0.159982657643	-0.624211090819
0.232738773417	0.165257675358	-0.767189632513
0.234413153082	0.161946760133	-0.880890735517
0.236087532747	0.150090585436	-0.959705576839
0.237761912411	0.13019360312	-0.9996424702
0.239436292076	0.103186530041	-0.998525501762
0.241110671741	0.070366125397	-0.956095440108
0.242785051406	0.0333168208463	-0.874009446627
0.244459431071	-0.00618041109014	-0.755742034961
0.246133810736	-0.0462461344611	-0.606395256413
0.247808190401	-0.085001617648	-0.432430897032
0.249482570066	-0.120663557901	-0.241341303551
0.25115694973	-0.151629461229	-0.0412781311003
0.252831329395	-0.176549650837	0.159340266802
0.25450570906	-0.194382917054	0.352221913322
0.256180088725	-0.204433946195	0.529574867137
0.25785446839	-0.206371798036	0.684443639265
0.259528848055	-0.200229772713	0.810993449254
0.26120322772	-0.186387961092	0.90473093242
0.262877607385	-0.165540565461	0.962653816525
0.264551987049	-0.138650682042	0.98332612126
0.266226366714	-0.106895640058	0.966879363343
0.267900746379	-0.0716061939174	0.914943867092
0.269575126044	-0.0342028763546	0.830517415085
0.271249505709	0.00386733866282	0.717780999309
0.272923885374	0.0411912170575	0.581873269556
0.274598265039	0.0764438582685	0.428636388436
0.276272644704	0.108435762623	0.264346399791
0.277947024368	0.136150970058	0.0954409460418
0.279621404033	0.158775414603	-0.0717436926859
0.281295783698	0.17571516628	-0.231215618519
0.282970163363	0.186604714351	-0.377541505395
0.284644543028	0.191305863664	-0.50602505244
0.286318922693	0.189898155969	-0.612844911977
0.287993302358	0.18266198408	-0.695149438217
0.289667682022	0.170055738078	-0.751107654591
0.291342061687	0.15268841391	-0.779917720037
0.293016441352	0.131289133997	-0.781775819587
0.294690821017	0.106674987339	-0.757809763586
0.296365200682	0.0797185043591	-0.709982623684
0.298039580347	0.0513159507435	-0.640972451074
0.299713960012	0.0223574652154	-0.554034518467
0.301388339677	-0.00630011196218	-0.452852621133
0.303062719341	-0.0338570613625	-0.341385794033
0.304737099006	-0.0595907901094	-0.223716390253
