Time (fs)	Ex (arb. u.)	Ey (arb. u.)
0.503988279126	0.106958379187	0.172281341567
0.509848607953	0.0943323785677	0.145963856973
0.51570893678	0.0808961318087	0.115112739596
0.521569265607	0.0668469989145	0.0804007822682
0.527429594434	0.0523007474243	0.0427305424489
0.533289923261	0.0373054918914	0.00321974643348
0.539150252088	0.0218654421857	-0.0368328726426
0.545010580915	0.0059722506126	-0.076001533344
0.550870909742	-0.0103592512622	-0.112805466164
0.556731238569	-0.0270548905611	-0.14579534496
0.562591567396	-0.0439489350967	-0.173648411944
0.568451896223	-0.0607601636827	-0.195264977029
0.57431222505	-0.07708007451	-0.209857850098
0.580172553877	-0.0923761258564	-0.217025847868
0.586032882704	-0.106011547083	-0.216802939421
0.591893211531	-0.117281610446	-0.209675916658
0.597753540358	-0.125464466833	-0.196565669222
0.603613869186	-0.129882900296	-0.178770082529
0.609474198013	-0.129971836381	-0.157870043343
0.61533452684	-0.125345327519	-0.13560373069
0.621194855667	-0.11585618414	-0.113717935749
0.627055184494	-0.101641523675	-0.0938082151578
0.632915513321	-0.0831483088853	-0.0771618762396
0.638775842148	-0.061134409151	-0.0646188155035
0.644636170975	-0.0366427384614	-0.0564648734407
0.650496499802	-0.0109484322324	-0.0523705447656
0.656356828629	0.0145183985387	-0.0513846539716
0.662217157456	0.0382693028285	-0.051988180742
0.668077486283	0.0588663241219	-0.0522081455775
0.67393781511	0.0750342547897	-0.049785800836
0.679798143937	0.0857666972427	-0.042387843895
0.685658472764	0.0904163554583	-0.0278445241309
0.691518801591	0.0887609200588	-0.00439486432942
0.697379130418	0.0810376951558	0.0290828200367
0.703239459245	0.0679426017993	0.072877061059
0.709099788072	0.0505921638152	0.12630612951
0.714960116899	0.0304502674012	0.187653974223
0.720820445726	0.00922459097957	0.254190052484
0.726680774553	-0.0112596643116	0.322277213269
0.73254110338	-0.0291990075302	0.387564451706
0.738401432208	-0.0429528387691	0.445253987611
0.744261761035	-0.0511752282383	0.490425391034
0.750122089862	-0.0529265850098	0.518393994805
0.755982418689	-0.0477560625965	0.525077105813
0.761842747516	-0.0357478753382	0.507339908268
0.767703076343	-0.0175275865701	0.463293613405
0.77356340517	0.00577237965424	0.392521320147
0.779423733997	0.0325855337347	0.296211983003
0.785284062824	0.0610169795549	0.177189435692
0.791144391651	0.0889740066995	0.0398310551355
0.797004720478	0.114311875063	-0.110121251934
0.802865049305	0.13498404559	-0.265847149897
0.808725378132	0.149185964748	-0.419813378952
0.814585706959	0.15548220453	-0.564195242685
0.820446035786	0.152908207039	-0.691326696297
0.826306364613	0.141039938551	-0.794149732318
0.83216669344	0.120027235898	-0.866633974334
0.838027022267	0.0905893176037	-0.904139661432
0.843887351094	0.0539736181152	-0.90370130441
0.849747679921	0.0118815832461	-0.864214857421
0.855608008748	-0.03363283466	-0.786517820332
0.861468337575	-0.0802846546754	-0.673358759563
0.867328666403	-0.125690997638	-0.529259790816
0.87318899523	-0.167507181553	-0.360282118715
0.879049324057	-0.203557336782	-0.173710353827
0.884909652884	-0.231951884534	0.0223243025372
0.890769981711	-0.251185460772	0.219259020954
0.896630310538	-0.260210435393	0.408528152452
0.902490639365	-0.258482940854	0.581981829535
0.908350968192	-0.245980151874	0.732272000914
0.914211297019	-0.223189324297	0.853186477072
0.920071625846	-0.191070699335	0.939915469784
0.925931954673	-0.150997724282	0.989239672767
0.9317922835	-0.10467907277	0.999633825057
0.937652612327	-0.054067633231	0.971284603216
0.943512941154	-0.00126196501215	0.906026311089
0.949373269981	0.0515942880373	0.807201929024
0.955233598808	0.102409853326	0.679460456312
0.961093927635	0.149235556362	0.528504001653
0.966954256462	0.190342494526	0.360799680529
0.972814585289	0.224285742002	0.183272060192
0.978674914116	0.249951646577	0.00299170128095
0.984535242943	0.266587760761	-0.173125626477
0.99039557177	0.27381538069	-0.338596100665
0.996255900597	0.271625500439	-0.487610546553
1.00211622942	0.260359692492	-0.615234319944
1.00797655825	0.240677975419	-0.71755865728
1.01383688708	0.213516117831	-0.791800451196
1.01969721591	0.180035054814	-0.836349974159
1.02555754473	0.141565169583	-0.850768413767
1.03141787356	0.0995481356801	-0.835739111355
1.03727820239	0.0554788446379	-0.792978047995
1.04313853121	0.0108496834001	-0.725110362332
1.04899886004	-0.032900901841	-0.635520501355
1.05485918887	-0.0744339907387	-0.528184008503
1.06071951769	-0.11254875345	-0.407488972336
1.06657984652	-0.14621322452	-0.278054836713
1.07244017535	-0.174586900945	-0.144555663853
1.07830050418	-0.197035135666	-0.0115541047227
1.084160833	-0.213135612532	0.116648670386
1.09002116183	-0.222677452607	0.236142932836
1.09588149066	-0.225653708804	0.343517249444
1.10174181948	-0.222248154146	0.435940372415
1.10760214831	-0.212817360249	0.511217398325
1.11346247714	-0.197869101803	0.567820429544
1.11932280597	-0.178038117149	0.60489485454
1.12518313479	-0.15406021318	0.622243109791
1.13104346362	-0.126745633454	0.620288383891
1.13690379245	-0.0969525195658	0.60002116981
1.14276412127	-0.0655611941723	0.562931866471
1.1486244501	-0.0334498846944	0.510932783343
1.15448477893	-0.00147239350329	0.446272923744
1.16034510775	0.0295618936707	0.371448828879
1.16620543658	0.05890538142	0.289114572791
1.17206576541	0.0858868478322	0.201993726692
1.17792609424	0.109923163351	0.112795778495
1.18378642306	0.130528158576	0.0241391180576
1.18964675189	0.147318726479	-0.0615177017444
1.19550708072	0.160018299651	-0.141935127845
1.20136740954	0.168457880633	-0.215141298467
1.20722773837	0.172574823905	-0.279469756394
1.2130880672	0.17240957462	-0.333586038979
